,Title,Rate,Year,Length
236,My Father and My Son,8.2 (93K),2005,1h 52m
237,The Sound of Music,8.1 (260K),1965,2h 52m
238,The Battle of Algiers,8.1 (66K),1966,2h 1m
239,The Grapes of Wrath,8.1 (100K),1940,2h 9m
240,To Be or Not to Be,8.1 (43K),1942,1h 39m
241,Groundhog Day,8.0 (684K),1993,1h 41m
242,Amores Perros,8.1 (253K),2000,2h 34m
243,Rebecca,8.1 (147K),1940,2h 10m
244,The Iron Giant,8.1 (227K),1999,1h 26m
245,Cool Hand Luke,8.1 (188K),1967,2h 7m
246,The Help,8.1 (492K),2011,2h 26m
247,It Happened One Night,8.1 (112K),1934,1h 45m
248,Aladdin,8.0 (466K),1992,1h 30m
249,Dances with Wolves,8.0 (290K),1990,3h 1m
250,Drishyam,8.2 (94K),2015,2h 43m
